"Identifier","n","Median","Boot.median","Conf.level","Percentile.lower","Percentile.upper","Plot_Median","mildew"
"0313_020M",4,2.6,2.6,0.95,1,4.2,2.6,"HPM 1084"
"1101_001M",4,0,0,0.95,0,0,0,"HPM 1084"
"1108_002M",4,0,0,0.95,0,0,0,"HPM 1084"
"1110_002M",4,0,0,0.95,0,0,0,"HPM 1084"
"1113_003M",4,2.1,2.6,0.95,0,7.5,2.6,"HPM 1084"
"1119_002M",4,5.5,7.1,0.95,2,18,7.1,"HPM 1084"
"1122_001M",4,7.1,6.9,0.95,3.2,9.8,6.9,"HPM 1084"
"1125_004M",4,0,0,0.95,0,0,0,"HPM 1084"
"19007M",4,0,0,0.95,0,0,0,"HPM 1084"
"19060M",4,3.5,3.8,0.95,1,7.8,3.8,"HPM 1084"
"19061M",4,0.62,0.77,0.95,0,2.2,0.77,"HPM 1084"
"21058M",4,0.12,0.25,0.95,0,1,0.25,"HPM 1084"
"21184M",4,0,0,0.95,0,0,0,"HPM 1084"
"21265M",4,0,0,0.95,0,0,0,"HPM 1084"
"21318M",4,0,0,0.95,0,0,0,"HPM 1084"
"21319M",4,0,0.33,0.95,0,2,0.33,"HPM 1084"
"21321M",4,0,0,0.95,0,0,0,"HPM 1084"
"21322M",4,0,0,0.95,0,0,0,"HPM 1084"
"21326M",4,4.4,5.1,0.95,0,13,5.1,"HPM 1084"
"21329M",4,0,0,0.95,0,0,0,"HPM 1084"
"21330M",4,0,0.3,0.95,0,2,0.3,"HPM 1084"
"21363M",4,0.12,0.73,0.95,0,4.5,0.73,"HPM 1084"
"21364M",4,11,9.5,0.95,0,14,9.5,"HPM 1084"
"21448M",4,0,0,0.95,0,0,0,"HPM 1084"
"21488M",4,0,0,0.95,0,0,0,"HPM 1084"
"31051M",4,0,0,0.95,0,0,0,"HPM 1084"
"31052M",4,0,0.039,0.95,0,0.25,0.039,"HPM 1084"
"31058M",4,0,0,0.95,0,0,0,"HPM 1084"
"31061M",4,0,0,0.95,0,0,0,"HPM 1084"
"65037M",4,0,0,0.95,0,0,0,"HPM 1084"
"8657_002M",4,0.5,2.2,0.95,0,12,2.2,"HPM 1084"
"Cascade",4,12,14,0.95,4,31,14,"HPM 1084"
"Symphony",4,34,34,0.95,21,49,34,"HPM 1084"
"W1108_333",4,0,0,0.95,0,0,0,"HPM 1084"
"W1108_408",4,0,0,0.95,0,0,0,"HPM 1084"
