"Identifier","n","Median","Boot.median","Conf.level","Percentile.lower","Percentile.upper","Plot_Median"
"0716_051M",4,0.62,0.61,0.95,0,1.2,0.61
"1101_002M",4,3.1,3.1,0.95,2.8,3.4,3.1
"1103_005M",4,2.2,2.3,0.95,1.8,2.8,2.3
"1114_001M",4,0.25,0.26,0.95,0,0.5,0.26
"19060M",3,0,NA,0.95,0,0.25,0
"21018M",4,0,0.28,0.95,0,2,0.28
"21061M",4,0,0.075,0.95,0,0.5,0.075
"21118M",4,0.25,0.26,0.95,0,0.5,0.26
"21273M",4,0,0.13,0.95,0,0.75,0.13
"21301M",4,0,0.082,0.95,0,0.5,0.082
"21354M",4,0.38,0.42,0.95,0,0.93,0.42
"21421M",3,1.5,NA,0.95,1,2.5,1.5
"21488M",4,0,0.082,0.95,0,0.5,0.082
"21692M",4,0.5,0.86,0.95,0.14,2.2,0.86
"51061M",4,0.5,0.5,0.95,0,1,0.5
"64028M",4,1.2,1.3,0.95,0.5,2.2,1.3
"8657_002M",4,0,0.14,0.95,0,0.72,0.14
"8657_040M",4,0.62,0.68,0.95,0,1.5,0.68
"8693_043M",4,0,0.034,0.95,0,0.25,0.034
"Symphony",4,3.1,3.2,0.95,3,3.5,3.2
"0313_008M",NA,0,NA,0.95,NA,NA,0
"0313_020M",NA,0,NA,0.95,NA,NA,0
"1101_001M",NA,0,NA,0.95,NA,NA,0
"1108_002M",NA,0,NA,0.95,NA,NA,0
"1110_002M",NA,0,NA,0.95,NA,NA,0
"1113_003M",NA,0,NA,0.95,NA,NA,0
"1119_002M",NA,0,NA,0.95,NA,NA,0
"1122_001M",NA,0,NA,0.95,NA,NA,0
"1125_004M",NA,0,NA,0.95,NA,NA,0
"19007M",NA,0,NA,0.95,NA,NA,0
"19048M",NA,0,NA,0.95,NA,NA,0
"19061M",NA,0,NA,0.95,NA,NA,0
"21058M",NA,0,NA,0.95,NA,NA,0
"21109M",NA,0,NA,0.95,NA,NA,0
"21184M",NA,0,NA,0.95,NA,NA,0
"21265M",NA,0,NA,0.95,NA,NA,0
"21318M",NA,0,NA,0.95,NA,NA,0
"21319M",NA,0,NA,0.95,NA,NA,0
"21321M",NA,0,NA,0.95,NA,NA,0
"21322M",NA,0,NA,0.95,NA,NA,0
"21326M",NA,0,NA,0.95,NA,NA,0
"21329M",NA,0,NA,0.95,NA,NA,0
"21330M",NA,0,NA,0.95,NA,NA,0
"21363M",NA,0,NA,0.95,NA,NA,0
"21364M",NA,0,NA,0.95,NA,NA,0
"21448M",NA,0,NA,0.95,NA,NA,0
"21550M",NA,0,NA,0.95,NA,NA,0
"31051M",NA,0,NA,0.95,NA,NA,0
"31052M",NA,0,NA,0.95,NA,NA,0
"31058M",NA,0,NA,0.95,NA,NA,0
"31061M",NA,0,NA,0.95,NA,NA,0
"31072M",NA,0,NA,0.95,NA,NA,0
"60013M",NA,3,NA,0.95,NA,NA,3
"64027M",NA,0,NA,0.95,NA,NA,0
"64033M",NA,0,NA,0.95,NA,NA,0
"65037M",NA,0,NA,0.95,NA,NA,0
"8657_036M",NA,0,NA,0.95,NA,NA,0
"Nugget",NA,4,NA,0.95,NA,NA,4
"W1108_333",NA,0,NA,0.95,NA,NA,0
"W1108_408",NA,0,NA,0.95,NA,NA,0
